Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,,
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,Canada,"230,362,247.00","236,462,323.00","272,027,446.00","232,217,777.00","233,020,230.00","261,257,712.00","234,354,723.00","255,256,477.00","237,101,630.00","273,301,888.00","239,107,863.00","222,396,666.00","230,652,778.00","248,305,653.00","254,969,437.00","225,098,769.00","304,008,400.00","250,574,291.00","240,639,010.00","278,462,411.00","253,971,329.00","269,898,755.00","276,752,835.00","250,317,006.00","262,146,651.00","240,396,562.00","270,174,311.00","272,150,269.00","313,559,234.00","281,724,463.00","268,151,793.00","303,806,387.00","278,205,811.00","306,920,123.00","277,308,346.00","293,243,031.00","292,493,601.00",,"317,138,913.00","275,570,674.00","305,819,386.00","297,243,309.00","292,493,895.00","264,965,319.00","275,721,403.00","285,852,091.00","220,407,163.00","282,111,195.00",,,,,,,"191,266,394.00",,,,,,,
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,Mexico,"616,082,948.00","734,425,437.00","795,886,416.00","843,822,934.00","782,138,807.00","878,720,274.00","808,531,261.00","853,402,558.00","826,313,131.00","848,152,500.00","833,863,662.00",,"637,078,657.00","725,826,284.00","910,117,464.00","714,684,767.00","843,176,211.00","774,701,855.00","751,984,849.00","903,868,036.00","815,803,368.00","933,834,724.00","898,595,282.00","878,088,023.00","779,674,866.00","800,628,172.00","939,483,381.00","838,406,306.00","1,006,601,978.00","937,627,554.00","893,675,178.00","888,023,982.00","841,328,225.00","1,103,399,370.00","932,872,333.00","764,517,936.00","757,558,500.00","785,416,556.00","808,732,342.00","791,163,068.00","883,291,105.00","768,103,512.00","911,578,790.00","863,464,865.00","804,890,630.00","802,167,806.00","805,522,053.00","822,338,088.00","775,896,403.00","739,042,028.00","824,983,405.00","423,108,511.00","323,312,821.00","665,473,495.00","663,198,246.00","654,271,093.00","753,245,474.00","865,370,942.00",,,,
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,USA,"22,618,935,265.00","22,234,984,601.00","23,696,294,478.00","22,965,732,358.00","23,441,782,704.00","24,682,118,615.00","21,971,737,142.00","24,670,555,992.00","24,091,012,964.00","24,323,539,947.00","24,868,745,859.00","23,743,644,350.00","24,827,647,091.00","23,784,007,128.00","26,895,022,862.00","24,908,030,275.00",,"26,395,734,262.00","23,407,424,634.00","25,519,635,777.00",,"26,361,951,482.00","26,695,117,841.00","26,023,651,900.00","26,844,948,140.00","24,552,099,069.00","27,445,755,747.00","27,102,384,943.00","28,806,779,453.00","28,651,278,495.00","27,381,500,752.00","28,569,712,571.00","26,830,263,394.00","28,640,017,090.00","26,284,280,265.00","24,574,530,973.00","23,986,349,901.00","23,797,688,405.00","28,302,124,907.00","27,321,030,291.00","29,900,716,226.00","28,317,188,630.00","27,463,342,313.00","27,251,245,633.00","27,460,385,184.00","29,124,246,559.00","25,696,743,383.00","28,007,497,672.00","25,959,043,330.00","24,920,198,259.00","25,696,825,566.00","15,482,519,876.00","16,246,298,654.00","20,750,823,383.00","22,791,660,795.00","24,161,621,428.00","24,978,417,218.00","25,276,305,487.00","24,645,357,273.00",,,
Value (US$),Imports,TOTAL Total of all HS commodities,Mexico,Canada,"1,760,294,573.00","1,987,961,781.00","2,239,679,848.00","2,137,654,980.00","2,171,770,304.00","2,287,820,735.00","1,988,978,396.00","2,046,723,883.00","2,087,365,410.00","2,212,646,367.00","2,093,136,768.00","2,058,148,844.00","1,908,507,890.00","2,087,518,067.00","2,466,231,428.00","2,215,506,447.00","2,321,484,392.00","2,441,171,147.00","2,050,361,002.00","2,447,821,557.00","2,420,098,070.00","2,227,256,395.00","2,487,533,442.00","2,283,216,289.00","1,962,325,424.00","2,317,686,811.00","2,614,006,643.00","2,433,537,726.00","2,417,350,494.00","2,592,697,500.00","2,306,433,132.00","2,455,328,666.00","2,247,894,474.00","2,412,234,291.00","2,384,344,735.00","2,235,810,179.00","2,099,168,376.00","2,033,134,036.00","2,639,748,105.00","2,397,148,054.00","2,489,175,428.00","2,540,897,372.00","2,325,121,595.00","2,240,853,455.00","2,275,956,221.00","2,404,698,578.00","2,232,814,339.00","2,163,297,632.00","1,966,964,331.00","2,108,084,860.00","2,077,590,376.00","1,085,474,255.00","970,843,922.00","1,730,127,788.00","1,812,059,201.00","1,919,481,677.00","1,892,828,637.00","2,144,905,606.00","2,231,898,446.00",,,
Value (US$),Imports,TOTAL Total of all HS commodities,Mexico,USA,"22,640,155,215.00","23,425,192,088.00","24,988,587,287.00","25,342,744,376.00","25,079,902,330.00","25,130,152,207.00","23,225,377,704.00","25,776,294,783.00","25,296,367,033.00","26,623,202,069.00","25,610,146,509.00","23,720,064,227.00","23,711,530,733.00","24,138,030,800.00","28,327,072,901.00","25,399,047,944.00",,"27,561,403,395.00","24,875,656,207.00","27,284,072,680.00",,"28,986,386,713.00","27,911,348,624.00","25,330,452,493.00","26,193,856,439.00","26,183,042,191.00","30,242,776,459.00","28,448,075,038.00","29,704,221,701.00","29,816,511,296.00","28,445,510,479.00","31,346,632,839.00","29,408,830,947.00","32,130,011,803.00","29,911,772,180.00","27,364,003,744.00","27,946,186,982.00","27,871,992,442.00","31,626,318,886.00","30,657,677,059.00","32,377,526,250.00","30,763,685,177.00","30,344,468,218.00","31,273,580,583.00","29,768,716,150.00","31,333,077,214.00","29,465,600,251.00","27,892,108,212.00","28,644,561,733.00","29,352,414,453.00","30,420,589,371.00","16,042,148,641.00","15,147,055,713.00","26,082,545,740.00","29,377,539,032.00","30,113,197,483.00","30,138,158,680.00","33,481,092,456.00","30,172,227,207.00",,,
Value (US$),Imports,TOTAL Total of all HS commodities,USA,Canada,"15,475,199,346.00","16,546,208,648.00","18,283,733,431.00","18,719,942,683.00","18,661,974,043.00","19,317,187,440.00","16,472,683,383.00","18,457,654,214.00","17,641,550,370.00","17,651,189,728.00","16,676,681,127.00","16,320,837,534.00","16,424,379,818.00","16,755,709,946.00","19,623,641,408.00","17,959,037,053.00","19,761,903,051.00","19,875,071,885.00","17,005,660,972.00","19,362,439,119.00","19,026,688,517.00","18,680,071,520.00","19,471,041,362.00","17,969,552,044.00","17,848,399,107.00","18,823,949,319.00","21,524,630,298.00","20,518,163,060.00","21,561,802,750.00","20,787,787,736.00","18,444,046,537.00","19,955,363,732.00","19,270,200,812.00","20,330,984,893.00","18,711,779,471.00","17,341,190,315.00","17,743,434,697.00","18,624,309,316.00","20,798,168,289.00","20,052,657,253.00","20,840,193,195.00","19,508,850,464.00","18,073,801,480.00","19,939,213,093.00","19,007,855,391.00","19,741,668,021.00","18,097,623,884.00","17,325,005,402.00","17,844,134,779.00","18,488,913,418.00","18,695,529,721.00","11,410,281,200.00","11,244,374,827.00","15,547,694,901.00","16,282,033,744.00","17,702,812,639.00","18,138,451,421.00","17,763,408,297.00","17,103,848,879.00",,,
Value (US$),Imports,TOTAL Total of all HS commodities,USA,Mexico,"12,835,680,147.00","14,100,377,261.00","14,936,755,671.00","14,709,816,616.00","15,030,253,787.00","15,092,517,453.00","14,562,741,544.00","15,419,326,473.00","15,923,621,134.00","15,476,671,855.00","15,996,967,570.00",,"14,698,026,436.00","14,981,685,996.00","17,453,229,730.00","14,200,883,170.00","16,840,583,790.00","16,321,433,970.00","15,273,871,537.00","17,392,321,261.00","16,049,431,594.00","17,365,139,064.00","17,297,837,660.00","17,117,786,766.00","15,796,211,343.00","16,271,576,045.00","18,478,132,287.00","17,726,194,226.00","18,651,401,122.00","17,949,410,888.00","18,111,794,191.00","19,419,576,449.00","17,224,613,513.00","20,586,337,525.00","19,424,387,267.00","16,606,604,706.00","16,261,007,569.00","16,256,603,436.00","17,618,390,154.00","17,612,732,862.00","18,945,214,646.00","16,234,512,843.00","18,363,398,549.00","17,701,718,981.00","16,488,007,625.00","17,892,949,175.00","16,848,989,267.00","15,890,102,386.00","16,206,124,034.00","15,967,991,651.00","16,456,091,577.00","9,770,597,965.00","7,762,750,083.00","11,942,290,920.00","13,234,482,568.00","13,923,186,814.00","15,100,344,564.00","16,155,059,113.00",,,,
Value (US$),Imports,TOTAL Total of all HS commodities,World,Canada,"29,254,528,441.00","31,189,056,477.00","34,602,690,862.00","34,357,052,591.00","34,460,229,227.00","35,944,399,912.00","32,238,356,056.00","35,718,596,323.00","36,381,930,429.00","33,953,023,584.00","33,232,726,924.00","31,501,326,228.00","31,719,788,504.00","32,435,644,529.00","37,177,990,153.00","34,659,350,875.00","37,382,424,382.00","38,348,958,408.00","34,762,555,095.00","38,124,348,797.00","37,405,686,852.00","36,890,569,776.00","38,203,254,463.00","35,399,372,582.00","35,293,893,865.00","35,241,691,577.00","40,715,041,097.00","39,529,136,285.00","41,341,956,349.00","40,208,821,537.00","37,909,685,561.00","39,976,208,766.00","37,606,991,813.00","39,692,891,519.00","37,417,072,350.00","34,920,759,243.00","36,079,384,981.00","35,076,674,328.00","40,078,006,913.00","38,842,892,937.00","40,262,784,832.00","38,120,033,356.00","38,092,985,003.00","39,022,133,513.00","37,282,358,968.00","39,303,556,582.00","36,238,650,022.00","34,829,540,460.00","34,781,861,743.00","33,796,254,733.00","35,441,190,601.00","25,840,822,129.00","24,666,931,888.00","32,141,229,643.00","34,148,965,297.00","35,463,163,079.00","36,360,763,518.00","38,174,617,792.00","36,863,895,592.00",,,
Value (US$),Imports,TOTAL Total of all HS commodities,World,Mexico,"27,977,456,989.00","29,749,340,671.00","31,406,562,260.00","32,495,321,206.00","31,852,309,294.00","32,465,973,100.00","31,597,366,853.00","34,329,861,897.00","34,227,645,923.00","33,493,444,306.00","34,265,011,431.00",,"30,786,628,980.00","30,584,888,303.00","36,108,114,217.00","30,867,758,791.00","36,544,769,233.00","35,546,719,042.00","33,685,106,044.00","38,510,748,114.00","35,704,683,293.00","38,967,184,211.00","37,080,634,544.00","35,981,878,500.00","35,140,482,936.00","34,149,865,188.00","37,734,620,466.00","37,471,970,561.00","40,766,246,615.00","38,377,253,726.00","39,612,124,323.00","42,128,274,165.00","38,000,231,334.00","44,290,896,796.00","40,928,721,954.00","35,692,972,279.00","37,263,009,106.00","35,074,093,616.00","37,531,224,847.00","38,076,878,127.00","40,794,744,619.00","35,388,252,091.00","40,417,302,958.00","51,652,925,598.00","37,338,105,863.00","41,456,279,902.00","36,648,512,427.00","35,594,972,520.00","36,068,891,070.00","33,723,768,207.00","35,007,170,294.00","26,472,205,354.00","21,592,396,350.00","27,529,796,022.00","29,863,675,014.00","30,863,172,684.00","34,162,622,205.00","35,720,951,733.00",,,,
Value (US$),Imports,TOTAL Total of all HS commodities,World,USA,"170,796,005,963.00","173,246,584,457.00","183,461,764,284.00","179,474,808,736.00","188,620,797,220.00","193,895,462,855.00","186,952,788,614.00","199,420,437,707.00","190,831,336,808.00","197,411,163,119.00","196,532,123,895.00","189,017,616,774.00",,"174,148,552,445.00",,"191,608,996,088.00",,,,"207,458,797,371.00",,"216,754,702,782.00","213,084,642,398.00","205,573,990,059.00","209,017,800,127.00","192,344,630,178.00","213,778,860,811.00","211,094,120,159.00","222,517,902,218.00","217,600,147,849.00","222,973,639,576.00","228,351,326,189.00","217,507,336,101.00","242,876,146,799.00","220,159,704,279.00","213,210,875,871.00","210,756,593,047.00","191,213,563,562.00","213,573,036,023.00","214,735,935,654.00","226,872,440,809.00","213,075,539,484.00","225,090,933,779.00","221,815,920,493.00","212,408,805,947.00","225,165,794,226.00","204,810,957,938.00","207,972,676,141.00","202,039,927,819.00","183,256,071,198.00","199,552,338,938.00","170,472,110,871.00","168,987,161,544.00","184,886,066,435.00","206,507,506,826.00","209,439,292,560.00","212,436,902,064.00","226,163,789,343.00","219,391,292,326.00",,,
