Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,Canada,230362247,236462323,272027446,232217777,233020230,261257712,234354723,255256477,237101630,273301888,239107863,222396666,230652778,248305653,254969437,225098769,304008400,250574291,240639010,278462411,253971329,269898755,276752835,250317006,262146651,240396562,270174311,272150269,313559234,281724463,268151793,303806387,278205811,306920123,277308346,293243031,292493601,,317138913,275570674,305819386,297243309,292493895,264965319,275721403,285852091,220407163,282111195,,,,,,,191266394,,,,
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,Mexico,616082948,734425437,795886416,843822934,782138807,878720274,808531261,853402558,826313131,848152500,833863662,,637078657,725826284,910117464,714684767,843176211,774701855,751984849,903868036,815803368,933834724,898595282,878088023,779674866,800628172,939483381,838406306,1006601978,937627554,893675178,888023982,841328225,1103399370,932872333,764517936,757558500,785416556,808732342,791163068,883291105,768103512,911578790,863464865,804890630,802167806,805522053,822338088,775896403,739042028,824983405,423108511,323312821,665473495,663198246,654271093,753245474,865370942,
Value (US$),Imports,TOTAL Total of all HS commodities,Canada,USA,22618935265,22234984601,23696294478,22965732358,23441782704,24682118615,21971737142,24670555992,24091012964,24323539947,24868745859,23743644350,24827647091,23784007128,26895022862,24908030275,,26395734262,23407424634,25519635777,,26361951482,26695117841,26023651900,26844948140,24552099069,27445755747,27102384943,28806779453,28651278495,27381500752,28569712571,26830263394,28640017090,26284280265,24574530973,23986349901,23797688405,28302124907,27321030291,29900716226,28317188630,27463342313,27251245633,27460385184,29124246559,25696743383,28007497672,25959043330,24920198259,25696825566,15482519876,16246298654,20750823383,22791660795,24161621428,24978417218,25276305487,24645357273
Value (US$),Imports,TOTAL Total of all HS commodities,Mexico,Canada,1760294573,1987961781,2239679848,2137654980,2171770304,2287820735,1988978396,2046723883,2087365410,2212646367,2093136768,2058148844,1908507890,2087518067,2466231428,2215506447,2321484392,2441171147,2050361002,2447821557,2420098070,2227256395,2487533442,2283216289,1962325424,2317686811,2614006643,2433537726,2417350494,2592697500,2306433132,2455328666,2247894474,2412234291,2384344735,2235810179,2099168376,2033134036,2639748105,2397148054,2489175428,2540897372,2325121595,2240853455,2275956221,2404698578,2232814339,2163297632,1966964331,2108084860,2077590376,1085474255,970843922,1730127788,1812059201,1919481677,1892828637,2144905606,2231898446
Value (US$),Imports,TOTAL Total of all HS commodities,Mexico,USA,22640155215,23425192088,24988587287,25342744376,25079902330,25130152207,23225377704,25776294783,25296367033,26623202069,25610146509,23720064227,23711530733,24138030800,28327072901,25399047944,,27561403395,24875656207,27284072680,,28986386713,27911348624,25330452493,26193856439,26183042191,30242776459,28448075038,29704221701,29816511296,28445510479,31346632839,29408830947,32130011803,29911772180,27364003744,27946186982,27871992442,31626318886,30657677059,32377526250,30763685177,30344468218,31273580583,29768716150,31333077214,29465600251,27892108212,28644561733,29352414453,30420589371,16042148641,15147055713,26082545740,29377539032,30113197483,30138158680,33481092456,30172227207
Value (US$),Imports,TOTAL Total of all HS commodities,USA,Canada,15475199346,16546208648,18283733431,18719942683,18661974043,19317187440,16472683383,18457654214,17641550370,17651189728,16676681127,16320837534,16424379818,16755709946,19623641408,17959037053,19761903051,19875071885,17005660972,19362439119,19026688517,18680071520,19471041362,17969552044,17848399107,18823949319,21524630298,20518163060,21561802750,20787787736,18444046537,19955363732,19270200812,20330984893,18711779471,17341190315,17743434697,18624309316,20798168289,20052657253,20840193195,19508850464,18073801480,19939213093,19007855391,19741668021,18097623884,17325005402,17844134779,18488913418,18695529721,11410281200,11244374827,15547694901,16282033744,17702812639,18138451421,17763408297,17103848879
Value (US$),Imports,TOTAL Total of all HS commodities,USA,Mexico,12835680147,14100377261,14936755671,14709816616,15030253787,15092517453,14562741544,15419326473,15923621134,15476671855,15996967570,,14698026436,14981685996,17453229730,14200883170,16840583790,16321433970,15273871537,17392321261,16049431594,17365139064,17297837660,17117786766,15796211343,16271576045,18478132287,17726194226,18651401122,17949410888,18111794191,19419576449,17224613513,20586337525,19424387267,16606604706,16261007569,16256603436,17618390154,17612732862,18945214646,16234512843,18363398549,17701718981,16488007625,17892949175,16848989267,15890102386,16206124034,15967991651,16456091577,9770597965,7762750083,11942290920,13234482568,13923186814,15100344564,16155059113,
Value (US$),Imports,TOTAL Total of all HS commodities,World,Canada,29254528441,31189056477,34602690862,34357052591,34460229227,35944399912,32238356056,35718596323,36381930429,33953023584,33232726924,31501326228,31719788504,32435644529,37177990153,34659350875,37382424382,38348958408,34762555095,38124348797,37405686852,36890569776,38203254463,35399372582,35293893865,35241691577,40715041097,39529136285,41341956349,40208821537,37909685561,39976208766,37606991813,39692891519,37417072350,34920759243,36079384981,35076674328,40078006913,38842892937,40262784832,38120033356,38092985003,39022133513,37282358968,39303556582,36238650022,34829540460,34781861743,33796254733,35441190601,25840822129,24666931888,32141229643,34148965297,35463163079,36360763518,38174617792,36863895592
Value (US$),Imports,TOTAL Total of all HS commodities,World,Mexico,27977456989,29749340671,31406562260,32495321206,31852309294,32465973100,31597366853,34329861897,34227645923,33493444306,34265011431,,30786628980,30584888303,36108114217,30867758791,36544769233,35546719042,33685106044,38510748114,35704683293,38967184211,37080634544,35981878500,35140482936,34149865188,37734620466,37471970561,40766246615,38377253726,39612124323,42128274165,38000231334,44290896796,40928721954,35692972279,37263009106,35074093616,37531224847,38076878127,40794744619,35388252091,40417302958,51652925598,37338105863,41456279902,36648512427,35594972520,36068891070,33723768207,35007170294,26472205354,21592396350,27529796022,29863675014,30863172684,34162622205,35720951733,
Value (US$),Imports,TOTAL Total of all HS commodities,World,USA,1.70796E+11,1.73247E+11,1.83462E+11,1.79475E+11,1.88621E+11,1.93895E+11,1.86953E+11,1.9942E+11,1.90831E+11,1.97411E+11,1.96532E+11,1.89018E+11,,1.74149E+11,,1.91609E+11,,,,2.07459E+11,,2.16755E+11,2.13085E+11,2.05574E+11,2.09018E+11,1.92345E+11,2.13779E+11,2.11094E+11,2.22518E+11,2.176E+11,2.22974E+11,2.28351E+11,2.17507E+11,2.42876E+11,2.2016E+11,2.13211E+11,2.10757E+11,1.91214E+11,2.13573E+11,2.14736E+11,2.26872E+11,2.13076E+11,2.25091E+11,2.21816E+11,2.12409E+11,2.25166E+11,2.04811E+11,2.07973E+11,2.0204E+11,1.83256E+11,1.99552E+11,1.70472E+11,1.68987E+11,1.84886E+11,2.06508E+11,2.09439E+11,2.12437E+11,2.26164E+11,2.19391E+11
